survived,pclass,sex,age,sibsp,parch,fare,embarked
1,1,0,52,0,0,30,2
0,2,0,36,1,2,27,2
0,3,0,24.99787222009208,1,0,19,2
0,1,0,30,0,0,27,0
1,1,0,49,1,0,89,0
0,3,0,29.15910016704619,0,0,8,2
1,3,0,29,0,0,7,0
0,1,0,65,0,0,26,2
1,1,1,34.224351798295345,1,0,51,2
1,2,1,50,0,0,10,2
0,3,0,28.65941336493868,0,0,7,1
1,1,0,48,0,0,26,2
0,3,0,34,0,0,8,2
0,1,0,47,0,0,38,2
0,2,0,48,0,0,13,2
0,3,0,29.15910016704619,0,0,8,2
0,3,0,38,0,0,7,2
0,2,0,37.35891969927027,0,0,0,2
0,1,0,56,0,0,26,2
0,3,0,28.65941336493868,0,0,7,1
1,3,1,0,2,1,19,0
0,3,0,29.172396322993585,0,0,7,2
0,3,0,38,0,0,8,2
1,2,1,33,1,2,27,2
1,2,1,23,0,0,13,0
0,3,1,22,0,0,9,2
0,1,0,44.76096987465079,0,0,52,2
0,2,0,34,1,0,21,2
0,3,0,29,1,0,7,2
0,3,0,22,0,0,7,2
1,3,1,2,0,1,12,2
0,3,0,9,5,2,46,2
0,2,0,37.35891969927027,0,0,0,2
0,3,0,50,0,0,8,2
1,3,1,63,0,0,9,2
1,1,0,25,1,0,91,0
0,3,1,16.376354830749335,3,1,25,2
1,1,1,35,1,0,90,2
0,1,0,58,0,0,29,0
0,3,0,30,0,0,8,2
1,3,0,9,1,1,15,2
0,3,0,24.99787222009208,1,0,19,2
0,3,0,21,0,0,7,2
0,1,0,55,0,0,30,2
0,1,0,71,0,0,49,0
0,3,0,21,0,0,8,2
0,3,0,28.053357315252025,0,0,14,0
1,1,1,54,1,0,78,0
0,3,0,29.066027075414446,0,0,15,2
0,1,1,25,1,2,151,2
0,3,0,24,0,0,7,2
0,3,0,17,0,0,8,2
0,3,1,21,0,0,7,1
0,3,1,29.00632173790816,0,0,7,1
0,3,1,37,0,0,9,2
1,1,1,16,0,0,86,2
0,1,0,18,1,0,108,0
1,2,1,33,0,2,26,2
1,1,0,38.22481755554347,0,0,26,2
0,3,0,28,0,0,22,2
1,3,0,26,0,0,56,2
1,3,0,29,0,0,7,1
0,3,0,29.15910016704619,0,0,8,2
1,1,0,36,0,0,26,2
1,1,1,54,1,0,59,0
0,3,0,24,0,0,7,2
0,1,0,47,0,0,34,2
1,2,1,34,0,0,10,2
0,3,0,28.433378713833008,0,0,24,1
1,2,1,36,1,0,26,2
0,3,0,32,0,0,7,2
1,1,1,30,0,0,93,2
0,3,0,22,0,0,7,2
0,3,0,28.146430406883773,0,0,7,0
1,1,1,44,0,1,57,0
0,3,0,28.146430406883773,0,0,7,0
0,3,0,40,0,0,7,1
1,2,1,50,0,0,10,2
0,1,0,42.51391951954145,0,0,221,2
0,3,0,39,0,0,7,2
0,2,0,23,2,1,11,2
1,2,1,2,1,1,26,2
0,3,0,28.146430406883773,0,0,7,0
0,3,0,17,1,1,7,0
1,3,1,19.694627339778258,0,2,22,0
0,3,1,30,0,0,8,2
1,2,1,7,0,2,26,2
0,1,0,45,0,0,26,2
1,1,1,30,0,0,106,0
0,3,0,29.079323231361837,0,0,14,2
1,1,1,22,0,2,49,0
1,1,1,36,0,2,71,2
0,3,1,9,4,2,31,2
0,3,1,11,4,2,31,2
1,2,0,32,1,0,26,2
0,1,0,50,1,0,106,0
0,1,0,64,0,0,26,2
1,2,1,19,1,0,26,2
1,2,0,29.278251382104827,0,0,13,0
0,3,0,33,1,1,20,2
1,2,0,8,1,1,36,2
1,1,0,17,0,2,110,0
0,2,0,27,0,0,26,2
0,3,0,28.65941336493868,0,0,7,1
1,3,0,22,0,0,7,0
1,3,1,22,0,0,7,2
0,1,0,62,0,0,26,2
1,1,1,48,1,0,39,0
0,1,0,41.408176667747284,0,0,227,0
1,1,1,39,1,1,79,2
1,3,1,36,1,0,17,2
0,3,0,28.65941336493868,0,0,7,1
0,3,0,40,0,0,7,2
0,2,0,28,0,0,13,2
0,3,0,29.15910016704619,0,0,8,2
0,3,1,29.50600854001567,0,0,8,2
0,3,0,24,2,0,24,2
0,3,0,19,0,0,7,2
0,3,1,29,0,4,21,2
0,3,0,28.146430406883773,0,0,7,0
1,3,0,32,0,0,7,2
1,2,0,62,0,0,10,2
1,1,1,53,2,0,51,2
1,1,0,36,0,0,26,2
1,3,1,22.124469364168633,0,0,7,1
0,3,0,16,0,0,8,2
0,3,0,19,0,0,14,2
1,2,1,34,0,0,13,2
1,1,1,39,1,0,55,2
0,3,1,24.385295456688716,1,0,14,0
1,3,0,32,0,0,7,2
1,2,1,25,1,1,30,2
1,1,1,39,1,1,110,0
0,2,0,54,0,0,26,2
0,1,0,36,0,0,40,0
0,3,0,28.13313425093638,0,0,8,0
1,1,1,18,0,2,79,2
0,2,0,47,0,0,15,2
1,1,0,60,1,1,79,0
0,3,0,22,0,0,8,2
0,3,0,29.15910016704619,0,0,8,2
0,3,0,35,0,0,7,2
1,1,1,52,1,0,78,0
0,3,0,47,0,0,7,2
0,3,1,27.288905010783573,0,2,7,1
0,2,0,37,1,0,26,2
0,3,0,36,1,1,24,2
1,2,1,30.385202552236265,0,0,33,2
0,3,0,49,0,0,0,2
0,3,0,28.146430406883773,0,0,7,0
1,1,0,49,1,0,56,0
1,2,1,24,2,1,27,2
0,3,0,29.172396322993585,0,0,7,2
0,1,0,44.89393143412472,0,0,42,2
0,3,0,44,0,0,8,2
1,1,0,35,0,0,26,0
0,3,0,36,1,0,15,2
0,3,0,30,0,0,7,2
1,1,0,27,0,0,30,2
1,2,1,22,1,2,41,0
1,1,1,40,0,0,153,2
0,3,1,39,1,5,31,2
0,3,0,29.172396322993585,0,0,7,2
1,3,1,18.0031298850567,1,0,15,1
0,3,0,28.65941336493868,0,0,7,1
0,3,0,35,0,0,8,2
1,2,1,24,1,2,65,2
0,3,0,34,1,1,14,2
0,3,1,26,1,0,16,2
1,2,1,4,2,1,39,2
0,2,0,26,0,0,10,2
0,3,0,27,1,0,14,0
1,1,0,42,1,0,52,2
1,3,0,20,1,1,15,0
0,3,0,21,0,0,7,2
0,3,0,21,0,0,16,2
0,1,0,61,0,0,32,2
0,2,0,57,0,0,12,1
1,1,1,21,0,0,77,2
0,3,0,26,0,0,7,2
0,3,0,28.65941336493868,0,0,7,1
1,1,0,80,0,0,30,2
0,3,0,51,0,0,7,2
1,1,0,32,0,0,30,0
0,1,0,45.452369983915204,0,0,0,2
0,3,1,9,3,2,27,2
1,2,1,28,0,0,13,2
0,3,0,32,0,0,7,2
0,2,0,31,1,1,26,2
0,3,1,41,0,5,39,2
0,3,0,25.03776068793426,1,0,16,2
0,3,0,20,0,0,7,2
1,1,1,24,0,0,69,0
0,3,1,2,3,2,27,2
1,3,0,21.639032307831826,0,0,56,2
1,3,1,0,2,1,19,0
1,1,0,48,1,0,76,0
0,3,0,19,0,0,7,2
1,1,0,56,0,0,35,0
0,3,0,29.172396322993585,0,0,7,2
1,3,1,23,0,0,7,2
0,3,0,29.172396322993585,0,0,7,2
1,2,1,18,0,1,23,2
0,3,0,21,0,0,8,2
1,3,1,22.124469364168633,0,0,7,1
0,3,1,18,0,0,6,1
0,2,0,24,2,0,73,2
0,3,0,29.172396322993585,0,0,7,2
0,3,1,32,1,1,15,1
0,2,0,23,0,0,13,2
0,1,0,58,0,2,113,0
1,1,0,50,2,0,133,2
0,3,0,40,0,0,7,0
0,1,0,47,0,0,25,2
0,3,0,36,0,0,7,2
1,3,0,20,1,0,7,2
0,2,0,32,2,0,73,2
0,2,0,25,0,0,13,2
0,3,0,29.172396322993585,0,0,7,2
0,3,0,43,0,0,8,2
1,1,1,34.21105564234795,1,0,52,2
1,2,1,40,1,1,39,2
0,1,0,31,1,0,52,2
0,2,0,70,0,0,10,2
1,2,0,31,0,0,13,2
0,2,0,37.35891969927027,0,0,0,2
0,3,0,18,0,0,7,2
0,3,0,24,0,0,8,2
1,3,1,18,0,0,9,2
0,3,1,43,1,6,46,2
1,1,0,36,0,1,512,0
0,3,1,28.993025581960765,0,0,8,1
1,1,0,27,0,0,76,0
0,3,0,20,0,0,9,2
0,3,0,14,5,2,46,2
0,2,0,60,1,1,39,2
0,2,0,25,1,2,41,0
0,3,0,14,4,1,39,2
0,3,0,19,0,0,10,2
0,3,0,18,0,0,7,2
1,1,1,15,0,1,211,2
1,1,0,31,1,0,57,2
1,3,1,4,0,1,13,0
1,3,0,21.639032307831826,0,0,56,2
0,3,0,25,0,0,7,0
0,1,0,60,0,0,26,2
0,2,0,52,0,0,13,2
0,3,0,44,0,0,8,2
1,3,1,22.124469364168633,0,0,7,1
0,1,0,49,1,1,110,0
0,3,0,42,0,0,7,2
1,1,1,18,1,0,227,0
1,1,0,35,0,0,26,2
0,3,1,18,0,1,14,0
0,3,0,25,0,0,7,1
0,3,0,26,1,0,7,2
0,2,0,39,0,0,26,2
1,2,1,45,0,0,13,2
1,1,0,42,0,0,26,2
1,1,1,22,0,0,151,2
1,3,0,16.284530190470022,1,1,15,0
1,1,1,24,0,0,49,0
0,1,0,45.106669929282994,0,0,26,2
1,1,0,48,1,0,52,2
0,3,0,29,0,0,9,2
0,2,0,52,0,0,13,2
0,3,0,19,0,0,7,2
1,1,1,38,0,0,227,0
1,2,1,27,0,0,10,2
0,3,0,28.55304411735954,0,0,15,1
0,3,0,33,0,0,7,2
1,2,1,6,0,1,33,2
0,3,0,17,1,0,7,2
0,2,0,34,0,0,13,2
0,2,0,50,0,0,13,2
1,1,0,27,1,0,53,2
0,3,0,20,0,0,8,2
1,2,1,30,3,0,21,2
1,3,1,22.124469364168633,0,0,7,1
0,2,0,25,1,0,26,2
0,3,1,25,1,0,7,2
1,1,1,29,0,0,211,2
0,3,0,11,0,0,18,0
0,2,0,37.35891969927027,0,0,0,2
0,2,0,23,0,0,13,2
0,2,0,23,0,0,13,2
0,3,0,28,0,0,16,2
0,3,1,48,1,3,34,2
1,1,0,35,0,0,512,0
0,3,0,29.172396322993585,0,0,7,2
0,3,0,29.172396322993585,0,0,7,2
1,1,0,38.1716329317539,0,0,30,2
0,1,0,36,1,0,78,2
1,1,1,21,2,2,262,0
0,3,0,24,1,0,16,2
1,3,0,31,0,0,7,2
0,1,0,70,1,1,71,2
0,3,0,16,1,1,20,2
1,2,1,30,0,0,13,2
0,1,0,19,1,0,53,2
0,3,0,31,0,0,7,1
1,2,1,4,1,1,23,2
1,3,0,6,0,1,12,2
0,3,0,33,0,0,9,2
0,3,0,23,0,0,7,2
1,2,1,48,1,2,65,2
1,2,0,0,1,1,14,2
0,3,0,28,0,0,7,2
0,2,0,18,0,0,11,2
0,3,0,34,0,0,8,2
1,1,1,33,0,0,86,2
0,3,0,29.079323231361837,0,0,14,2
0,3,0,41,0,0,7,2
1,3,0,20,0,0,7,0
1,1,1,36,1,2,120,2
0,3,0,16,0,0,7,2
1,1,1,51,1,0,77,2
0,1,0,43.90785398585708,0,0,39,0
0,3,1,30,0,0,7,1
0,3,0,24.418408482300215,1,0,24,1
0,3,0,32,0,0,8,2
0,3,0,24,0,0,9,2
0,3,0,48,0,0,7,2
0,2,1,57,0,0,10,2
0,3,0,28.146430406883773,0,0,7,0
1,2,1,54,1,3,23,2
0,3,0,18,0,0,7,2
0,3,0,28.65941336493868,0,0,7,1
1,3,1,5,0,0,12,2
0,3,0,28.65941336493868,0,0,7,1
1,1,1,43,0,1,211,2
1,3,1,13,0,0,7,0
1,1,1,17,1,0,57,2
0,1,0,29,0,0,30,2
0,3,0,23.227270869177925,1,2,23,2
0,3,0,25,0,0,7,2
0,3,0,25,0,0,7,2
1,3,1,18,0,0,7,2
0,3,0,8,4,1,29,1
1,3,0,1,1,2,20,2
0,1,0,46,0,0,79,0
0,3,0,28.65941336493868,0,0,7,1
0,2,0,16,0,0,26,2
0,3,1,-5.142235552162184,8,2,69,2
0,1,0,44.02751938938361,0,0,30,0
0,3,0,25,0,0,7,2
0,2,0,39,0,0,13,2
1,1,1,49,0,0,25,2
1,3,1,31,0,0,8,2
0,3,0,30,0,0,7,0
0,3,1,30,1,1,24,2
0,2,0,34,0,0,13,2
1,2,1,31,1,1,26,2
1,1,0,11,1,2,120,2
1,3,0,0,0,1,8,0
1,3,0,27,0,0,6,2
0,3,0,31,0,0,7,2
0,1,0,39,0,0,0,2
0,3,1,18,0,0,7,2
0,2,0,39,0,0,13,2
1,1,1,33,1,0,53,2
